ApplicantReceiverID;ApplicantID;ReceiverID;ApplicantPreference;ReceiverPoints;PairedReceiver;Matched;ApplicantID2;ReceiverID2;ApplicantPreference2
130;15;4;3;7;1;0;15;1004;4
131;15;5;5;7;1;0;15;1005;6
132;15;6;6;5;1;0;15;1006;7
133;15;7;2;5;1;0;15;1007;3
134;15;8;1;8;1;0;15;1008;2
135;15;9;7;5;1;0;15;1009;8
136;16;1;6;5;5;0;16;1001;7
137;16;2;4;5;5;0;16;1002;5
138;16;3;7;10;5;0;16;1003;8
139;16;4;8;3;5;0;16;1004;9
140;16;5;1;1;5;1;16;1005;2
141;16;6;3;5;5;0;16;1006;4
142;16;7;5;5;5;0;16;1007;6
143;16;8;0;9;5;0;16;1008;1
144;16;9;2;5;5;0;16;1009;3
145;17;1;6;5;6;0;17;1001;7
146;17;2;8;5;6;0;17;1002;9
147;17;3;0;5;6;0;17;1003;1
148;17;4;7;4;6;0;17;1004;8
149;17;5;4;6;6;0;17;1005;5
150;17;6;2;5;6;1;17;1006;3
151;17;7;5;5;6;0;17;1007;6
152;17;8;3;10;6;0;17;1008;4
153;17;9;1;5;6;0;17;1009;2
154;18;1;4;5;2;0;18;1001;5
155;18;2;0;5;2;1;18;1002;1
156;18;3;2;5;2;0;18;1003;3
157;18;4;7;4;2;0;18;1004;8
158;18;5;8;6;2;0;18;1005;9
159;18;6;6;5;2;0;18;1006;7
160;18;7;1;5;2;0;18;1007;2
161;18;8;3;10;2;0;18;1008;4
162;18;9;5;5;2;0;18;1009;6
163;19;1;4;5;3;0;19;1001;5
164;19;2;1;5;3;0;19;1002;2
165;19;3;0;10;3;1;19;1003;1
166;19;4;6;5;3;0;19;1004;7
167;19;5;3;8;3;0;19;1005;4
168;19;6;8;5;3;0;19;1006;9
169;19;7;7;5;3;0;19;1007;8
170;19;8;2;7;3;0;19;1008;3
171;19;9;5;5;3;0;19;1009;6
172;20;1;2;5;9;0;20;1001;3
173;20;2;3;5;9;0;20;1002;4
174;20;3;6;5;9;0;20;1003;7
175;20;4;5;5;9;0;20;1004;6
176;20;5;4;9;9;0;20;1005;5
177;20;6;7;5;9;0;20;1006;8
178;20;7;0;5;9;0;20;1007;1
179;20;8;8;7;9;0;20;1008;9
180;20;9;1;5;9;1;20;1009;2
181;21;1;7;5;5;0;21;1001;8
182;21;2;4;5;5;0;21;1002;5
183;21;3;0;5;5;0;21;1003;1
184;21;4;3;6;5;0;21;1004;4
185;21;5;1;3;5;1;21;1005;2
186;21;6;5;5;5;0;21;1006;6
187;21;7;8;5;5;0;21;1007;9
188;21;8;6;6;5;0;21;1008;7
189;21;9;2;5;5;0;21;1009;3
190;22;1;0;5;6;0;22;1001;1
191;22;2;6;5;6;0;22;1002;7
192;22;3;7;5;6;0;22;1003;8
193;22;4;5;4;6;0;22;1004;6
194;22;5;2;5;6;0;22;1005;3
195;22;6;1;5;6;1;22;1006;2
196;22;7;4;5;6;0;22;1007;5
197;22;8;8;6;6;0;22;1008;9
198;22;9;3;5;6;0;22;1009;4
199;23;1;6;5;3;0;23;1001;7
200;23;2;1;5;3;0;23;1002;2
201;23;3;0;5;3;1;23;1003;1
202;23;4;5;5;3;0;23;1004;6
203;23;5;4;3;3;0;23;1005;5
204;23;6;7;5;3;0;23;1006;8
205;23;7;8;5;3;0;23;1007;9
206;23;8;2;6;3;0;23;1008;3
207;23;9;3;5;3;0;23;1009;4
208;24;1;5;5;3;0;24;1001;6
209;24;2;7;5;3;0;24;1002;8
210;24;3;1;5;3;1;24;1003;2
211;24;4;0;6;3;0;24;1004;1
212;24;5;3;7;3;0;24;1005;4
213;24;6;8;5;3;0;24;1006;9
